dataset_ID,interval,spikes
0,456,102580
0,457,115106
0,458,77393
0,459,54874
0,460,12815
0,461,7866
0,462,5344
0,463,8528
0,464,7001
0,465,10214
0,466,11318
0,467,16039
0,468,16228
0,469,109570
0,470,10616
0,471,9551
0,472,48411
0,473,18143
0,474,15951
0,475,14500
0,476,11074
0,477,14010
0,478,11480
0,479,8516
0,480,12053
3,481,6781
3,482,12801
3,483,14218
3,484,17653
3,485,10006
3,486,89340
3,487,91998
3,488,76674
3,489,61815
3,490,5165
3,491,5525
3,492,11207
3,493,8282
3,494,16026
3,495,12337
3,496,10882
3,497,6852
3,498,27620
3,499,75166
3,500,14298
3,501,17370
3,502,31605
3,503,18522
3,504,9730
3,505,17959
3,506,7731
3,507,9435
3,508,11327
3,509,21474
3,510,8266
7,511,5462
7,512,7079
7,513,12861
7,514,9218
7,515,11137
7,516,80360
7,517,87684
7,518,78251
7,519,76618
7,520,7615
7,521,4993
7,522,8712
7,523,10428
7,524,9082
7,525,7815
7,526,11223
7,527,9933
7,528,34925
7,529,102265
7,530,10828
7,531,13321
7,532,38897
7,533,19828
7,534,11690
7,535,12409
7,536,17123
7,537,9805
7,538,16595
7,539,14372
7,540,15634
5,541,6062
5,542,10732
5,543,7970
5,544,11341
5,545,13649
5,546,76261
5,547,124955
5,548,70800
5,549,67544
5,550,9228
5,551,6442
5,552,8643
5,553,14095
5,554,12238
5,555,13011
5,556,15372
5,557,13731
5,558,28134
5,559,80686
5,560,14231
5,561,17189
5,562,46208
5,563,11530
5,564,10312
5,565,9399
5,566,9397
5,567,17658
5,568,9483
5,569,12726
5,570,17362
0,571,5950
0,572,7132
0,573,24436
0,574,14017
0,575,8748
0,576,102580
0,577,115106
0,578,77393
0,579,54874
0,580,12815
0,581,7866
0,582,5344
0,583,8528
0,584,7001
0,585,10214
0,586,11318
0,587,16039
0,588,16228
0,589,109570
0,590,10616
0,591,9551
0,592,48411
0,593,18143
0,594,15951
0,595,14500
0,596,11074
0,597,14010
0,598,11480
0,599,8516
0,600,12053
7,601,5462
7,602,7079
7,603,12861
7,604,9218
7,605,11137
7,606,80360
7,607,87684
7,608,78251
7,609,76618
7,610,7615
7,611,4993
7,612,8712
7,613,10428
7,614,9082
7,615,7815
7,616,11223
7,617,9933
7,618,34925
7,619,102265
7,620,10828
7,621,13321
7,622,38897
7,623,19828
7,624,11690
7,625,12409
7,626,17123
7,627,9805
7,628,16595
7,629,14372
7,630,15634
5,631,6062
5,632,10732
5,633,7970
5,634,11341
5,635,13649
5,636,76261
5,637,124955
5,638,70800
5,639,67544
5,640,9228
5,641,6442
5,642,8643
5,643,14095
5,644,12238
5,645,13011
5,646,15372
5,647,13731
5,648,28134
5,649,80686
5,650,14231
5,651,17189
5,652,46208
5,653,11530
5,654,10312
5,655,9399
5,656,9397
5,657,17658
5,658,9483
5,659,12726
5,660,17362
0,661,5950
0,662,7132
0,663,24436
0,664,14017
0,665,8748
0,666,102580
0,667,115106
0,668,77393
0,669,54874
0,670,12815
0,671,7866
0,672,5344
0,673,8528
0,674,7001
0,675,10214
0,676,11318
0,677,16039
0,678,16228
0,679,109570
0,680,10616
0,681,9551
0,682,48411
0,683,18143
0,684,15951
0,685,14500
0,686,11074
0,687,14010
0,688,11480
0,689,8516
0,690,12053
3,691,6781
3,692,12801
3,693,14218
3,694,17653
3,695,10006
3,696,89340
3,697,91998
3,698,76674
3,699,61815
3,700,5165
3,701,5525
3,702,11207
3,703,8282
3,704,16026
3,705,12337
3,706,10882
3,707,6852
3,708,27620
3,709,75166
3,710,14298
3,711,17370
3,712,31605
3,713,18522
3,714,9730
3,715,17959
3,716,7731
3,717,9435
3,718,11327
3,719,21474
3,720,8266
5,721,6062
5,722,10732
5,723,7970
5,724,11341
5,725,13649
5,726,76261
5,727,124955
5,728,70800
5,729,67544
5,730,9228
5,731,6442
5,732,8643
5,733,14095
5,734,12238
5,735,13011
5,736,15372
5,737,13731
5,738,28134
5,739,80686
5,740,14231
5,741,17189
5,742,46208
5,743,11530
5,744,10312
5,745,9399
5,746,9397
5,747,17658
5,748,9483
5,749,12726
5,750,17362
0,751,5950
0,752,7132
0,753,24436
0,754,14017
0,755,8748
0,756,102580
